,LDA_PC1,LDA_PC2,LDA_PC3,player_fifa_api_id,player_positions,player_positions_general
1158,-1.1335088035712026,-2.5874291747646505,0.18759811058149042,173305,"LB, LM",MID
1159,-3.196260662028371,-2.8747582880147093,-0.7972032069414432,201939,"RB, RM",MID
1160,-2.625521113960752,2.9922526950355937,-2.2148718185499487,20801,"LW, LM",MID
1161,-1.5789592027134378,1.794306358695085,1.6541545914141016,205555,CAM,MID
1162,-2.2195889730081113,-0.9200029581799756,0.5572313781709363,196991,"CDM, CM",MID
1163,-1.1780588559140528,-1.151910923917324,0.3069485958610418,204519,"RB, CB",DEF
1164,-2.2337132561940205,-1.9559882692886084,-1.136978479657634,163761,CB,DEF
1165,-2.3597844700335946,-1.546685094917709,-0.20537059132360636,203224,"CB, LB",DEF
1166,-2.258556044439046,-0.3017239972140239,1.2845184213523584,20799,"CDM, CM",MID
1167,-2.8990728745590952,-2.2051013667568102,-0.32152573294627035,177479,"CB, RB",DEF
1168,-1.8043259628487947,-1.8616593538602273,-0.3281267620317812,208323,"RB, LB",DEF
1169,-1.9000024901073571,3.0630921352278517,-1.6627976664721364,222262,ST,ATK
1170,-2.5249935081642607,3.147696326635484,-1.7210797747622577,164985,ST,ATK
1171,-2.1513984729099116,-1.146622754632364,-0.5193405897473257,184027,RB,DEF
1172,-2.2427210635530015,0.6985965557914864,1.0010797586717248,224243,"CAM, LW",ATK
1173,-3.167183050569484,-1.103300432890512,-0.45795463352648824,229148,LB,DEF
1174,-2.4759657010358747,1.4671207548157967,-1.2908908423359107,226866,"RM, LM",MID
1175,-2.6802892885237086,0.5502187393752577,0.9130715067514533,210967,"CF, ST, RW",ATK
1176,-2.331805382531609,-0.8722897359377652,1.603558079769011,190815,"CDM, LB, CM",MID
1177,-1.9214527052686707,0.8924681967826049,0.2068215010870104,216380,"CAM, LW",ATK
1178,-2.479805225603129,-0.415482357687951,1.2968825104292518,214885,"CDM, RB",DEF
1179,-2.1727336447664363,0.043473964307504165,1.5519541826734664,175657,"CDM, CM, CAM",MID
1180,-0.8114529495762828,3.541923732961017,-1.7636152638629718,190017,ST,ATK
1181,-2.8411093090468955,-0.9025852513815368,0.2059514205898619,39386,LB,DEF
1182,-1.8734245818771604,2.3045385316436415,-1.9881814478214221,179875,ST,ATK
